Municipality,Economic Cluster,Total Votes,Labour,Yamina,Yahadot Hatora,The Joint Party,Zionut Datit,Kachul Lavan,Israel Betinu,Licod,Merez,Raam,Yesh Atid,Shas,Tikva Hadasha
Abu Gosh,3,1947,18,4,4,951,1,13,4,476,68,331,46,13,2
Abu Sanan,3,5070,22,2,1,2127,5,44,395,577,96,888,97,532,243
Even Yehuda,8,7566,888,334,25,13,135,999,190,1430,622,0,2227,114,477
Umm al-Fahm,2,11972,20,2,1,9635,1,8,3,172,312,1645,78,13,15
Ofakim,4,13757,159,691,2260,6,827,297,831,4481,69,12,494,3149,352
Or Yehuda,5,17803,460,902,118,9,612,995,295,8520,283,4,1364,2960,1000
Or Akiva,5,9621,194,643,93,1,354,284,882,4655,91,1,829,941,489
Oranit,7,4939,295,719,16,1,221,508,150,1124,112,0,1161,65,491
Azur,7,6533,338,435,41,9,164,564,273,2261,163,3,1139,669,348
Eilat,5,21023,838,1108,97,90,706,1267,1560,8866,445,20,2839,1087,1583
Ixal,3,4219,4,0,1,2530,1,6,1,203,63,1340,18,2,24
Elyakhin,6,1937,90,134,26,1,101,107,28,854,31,0,142,260,128
Elad,2,17757,20,192,6264,1,1892,11,6,743,6,2,19,8506,38
Alfei Menashe,8,4356,269,417,31,2,124,382,181,1256,76,0,1087,76,385
Elkana,8,2117,18,803,9,0,784,15,2,336,3,1,22,33,74
Ibelin,3,4618,57,2,0,2863,2,10,8,225,162,1131,57,5,16
Efrat,6,5644,70,2429,34,0,1439,95,16,927,26,0,138,88,300
Ariel,6,9257,137,900,39,2,757,191,1519,3617,65,1,811,188,812
Ashdod,5,110362,1720,5378,13351,33,3286,4090,14572,33865,780,19,11509,15190,5144
Ashkelon,5,67730,1454,4134,528,38,3421,2762,9839,27103,592,24,6304,6712,3751
Baka Algarbia,3,6075,26,0,1,3466,0,21,4,92,269,2077,43,9,7
Beer Yaakov,5,12492,531,947,103,17,342,1129,429,4329,236,2,2412,873,928
Beer Sheva,5,91657,2963,6526,716,349,4972,4405,8847,38604,1400,196,8821,7110,5173
Bueeninogidat,2,3459,8,0,0,943,0,3,0,124,83,2228,17,32,1
Bir al-Maksur,2,2601,27,0,0,112,0,7,28,182,21,2042,123,17,31
Bethel,4,2600,5,293,26,0,1944,3,2,248,2,0,0,35,22
Beit Arye,7,2636,105,347,12,1,176,164,91,1036,26,0,307,91,232
Beit Gan,4,3399,92,52,0,149,2,484,1165,470,520,12,276,31,113
Beit Dagan,6,3731,139,248,38,2,249,254,75,1585,61,1,535,265,207
Beit Shean,4,9378,83,455,54,5,728,193,131,5121,28,3,230,1980,301
Beit Shemesh,3,42470,307,2734,15242,13,4398,756,1078,7771,125,9,1001,7745,890
Beitar Illit,1,21174,21,78,12752,2,2124,13,3,342,3,2,23,5734,29
Bnei Brak,2,82602,210,677,50181,11,3653,283,342,3121,118,7,545,22917,330
Benei Aish,5,3483,58,209,37,2,191,83,803,1180,31,1,403,255,167
Binyamina Givat Ada,9,7650,1243,451,11,18,113,873,217,1257,866,2,1987,119,388
Basma,2,2546,14,1,0,1374,0,3,0,68,158,873,18,14,5
Basmat Tivon,3,1755,29,5,3,325,4,8,3,303,99,893,36,2,15
Baana,2,3254,8,1,0,1764,0,39,0,46,14,1320,11,11,31
Bat Yam,6,59723,1836,2849,500,102,2244,2982,9081,21360,1000,23,8211,5169,3179
Givat Zeev,6,8703,130,608,1673,1,1134,201,130,2302,52,0,365,1695,308
Givat Shmuel,8,13994,656,3368,149,22,2092,889,214,2922,393,7,1645,694,810
Givatayim,9,33649,5102,1522,127,118,603,4426,1117,5091,3784,4,8999,400,1813
Gadidamacher,3,6121,21,1,3,4076,1,9,3,159,189,1548,55,15,7
Gedera,6,12635,874,940,61,11,703,1091,329,3983,483,5,2457,577,897
Guls,4,2756,27,19,0,35,1,317,795,535,91,5,334,486,82
Galgulia,3,3840,163,5,0,1114,0,0,1,20,141,2346,19,1,1
Gan Yavne,6,12059,582,1007,42,9,469,922,463,4440,232,0,2229,693,793
Ganei Tikva,8,11730,983,648,198,13,361,1414,341,2280,668,0,3172,799,671
Gesser Azarka,2,2212,23,1,0,1291,1,2,1,121,50,659,17,17,5
Gush Halav,5,1112,18,0,0,649,0,11,3,148,135,87,49,0,3
Gat,4,2198,4,4,0,1013,1,4,0,41,108,966,28,10,3
Dali'at el Carmel,4,5136,326,116,1,389,14,357,1327,465,511,26,1305,106,127
Daboria,3,3452,3,0,0,1901,0,1,2,60,54,1409,10,2,3
Deer  Alasad,3,5167,14,1,1,2574,0,6,2,82,44,2093,33,286,12
Deer Hanna,3,5042,5,2,1,2989,2,3,1,111,109,1648,43,97,21
Dimona,4,15979,249,826,103,10,861,418,1074,8766,78,27,995,1708,681
Hod Hasharon,8,35341,3970,1572,100,38,574,4537,1184,6389,2869,1,10746,683,2168
Har Adar,9,2378,258,149,2,5,36,370,63,482,247,0,534,16,165
Herzliya,8,54971,5127,2680,449,92,959,6908,2413,11580,4557,9,14701,1677,2996
Zichron Yaakov,7,12396,1292,825,606,20,310,1305,346,1882,1059,1,3071,724,795
Zemer,4,1885,9,0,0,981,0,2,1,43,95,726,17,2,0
Zarzir,2,1891,28,0,0,178,1,14,2,274,75,968,29,5,293
Hadera,6,45665,2138,2632,432,66,1561,3219,3840,16957,1048,24,6624,3474,2766
Holon,6,96703,4585,5817,679,66,2798,7333,6017,33538,2365,12,16497,8751,6512
Hura,1,3446,9,1,0,847,0,6,5,214,43,2264,11,3,3
Hurfish,4,2117,85,129,0,127,0,577,457,136,146,1,146,166,134
Haifa,7,136966,9352,6532,5042,9783,3607,11146,12799,29269,8620,492,26800,3585,7462
Hatzor HaGlilit,4,4830,62,214,754,0,306,122,183,2219,15,1,104,673,136
Harish,5,7358,331,918,184,20,932,304,493,1560,185,3,833,1032,379
Tiberias,5,19654,223,759,1538,15,998,638,1162,8521,112,11,1109,3641,698
TubaZangaria,2,1505,18,3,0,277,1,10,6,286,82,706,82,6,16
Turan,3,3730,29,2,0,1876,3,2,8,87,89,1542,23,21,20
Taibeh,3,12517,57,3,0,8310,2,17,0,96,519,3246,132,74,5
Tira,4,8690,60,3,1,4175,2,15,2,85,367,3528,364,4,50
Tirat Carmel,5,12264,244,759,38,7,431,636,676,6112,142,4,1038,1231,727
Tamra,3,12265,20,2,1,5853,3,48,4,77,157,5952,66,21,6
Yanuch Gat,3,2131,78,5,1,52,0,146,622,501,40,6,317,195,151
Yavneel,4,1683,62,64,44,2,127,67,23,319,21,0,131,738,50
Yavne,6,24572,971,1744,143,7,1065,2021,863,9165,501,5,3833,2472,1415
Yehud Monoson,8,16730,1060,1055,81,6,483,1964,470,5340,748,1,3605,606,1026
Yesod Hammala,8,917,113,57,1,1,47,195,26,179,53,0,156,5,64
Yafia,3,5586,65,0,0,3356,1,12,1,305,181,1504,42,3,87
Yokneam Illith,7,12333,642,878,71,4,338,876,1274,4044,309,1,2243,488,911
Yeruham,4,4727,110,495,315,9,343,217,287,1890,57,56,167,552,182
Jerusalem,4,248649,9846,16529,58585,2763,23039,8181,4886,51238,9177,386,13960,39151,8447
Yarka,3,5522,71,26,2,478,1,146,1777,1945,257,10,337,364,76
Kabul,3,5205,3,1,1,2787,0,1,7,28,21,2326,11,5,2
Kochav Yair,8,5824,784,558,8,5,141,721,226,772,482,3,1692,19,343
Kassifa,1,4129,4,2,0,919,0,8,2,81,54,2753,137,12,129
Kasrasmie,3,3595,84,11,1,137,2,211,681,1687,82,9,154,146,377
Kaabiya Tbashhagagra,2,1532,11,1,0,185,1,11,0,212,37,1021,18,5,18
Kfar Bara,3,1351,2,23,0,170,0,1,0,24,77,1042,6,0,1
Kfar Vradim,9,3248,506,133,1,41,48,380,119,392,400,0,839,6,295
Kfar Yassif,4,4499,22,12,0,3238,0,9,27,186,263,464,72,13,163
Kfar Yona,6,12481,776,897,82,14,340,1138,464,3943,399,1,2764,495,905
Kfar Kama,5,858,171,2,0,32,0,173,20,77,97,26,172,4,50
Kfar Kana,2,7210,19,4,0,3501,1,4,6,267,79,3054,40,27,19
Kfar Manda ,2,7241,7,1,1,2452,2,20,4,212,180,3883,49,314,41
Kfar Saba,7,56591,5932,3261,241,85,1538,6217,2553,11874,4181,17,14866,1559,3390
Kafr Qasim,3,8666,32,5,0,1321,10,24,3,82,1689,5434,24,4,5
Kfar Kara,4,5973,15,2,1,3229,0,3,3,80,283,2143,43,131,12
Kfar Shmaryahu,10,1232,131,36,3,3,13,222,71,162,138,5,402,1,39
Carmiel,6,23232,886,1316,752,238,460,1086,4188,6637,465,77,4361,653,1655
Lehavim,9,3781,362,298,3,33,74,585,97,788,290,25,893,18,276
Lod,4,30185,514,1860,1173,2712,2258,775,2563,10360,329,1383,1980,2526,1264
Lakia,1,3174,5,0,0,1270,0,0,2,61,25,1786,3,1,11
Mevaseret Zion,8,13331,1056,776,50,28,609,1339,335,4255,1192,2,2146,659,725
Magar,3,7054,160,205,4,1878,4,184,916,596,305,1751,378,298,320
Majd al-Krum,3,5741,22,1,0,4525,0,4,2,57,107,976,7,18,1
Migdal,5,892,19,49,15,4,83,37,18,424,12,0,49,133,41
Migdal Haemek,5,12832,252,520,186,5,805,385,2097,4873,86,2,889,1995,581
Modi'in Illit,1,24369,7,38,19309,0,539,7,2,132,3,0,8,4280,15
Modi'in Maccabim-Reut,9,48725,4233,5881,191,38,1908,5170,1670,9876,2812,0,11782,806,3722
Mazkeret Batya,7,8104,721,777,15,10,243,1043,191,1974,412,0,1836,174,576
Mazraa,3,1537,4,0,0,939,0,2,0,17,82,470,4,7,7
Metula,8,859,134,60,1,1,17,164,42,126,51,1,150,6,78
Meitar,9,5512,461,777,8,21,314,657,123,1252,238,14,1131,62,379
Miilya,6,1658,13,2,0,1126,0,15,3,47,268,7,152,1,14
Ma'ale Adumim,6,18852,291,2229,175,7,2059,545,832,8801,102,4,1068,1285,1221
Maale Ephraim,5,562,6,49,11,0,130,14,30,203,8,0,46,10,36
Ma'ale Eron,2,3158,10,0,1,2105,1,3,1,92,109,770,12,3,21
Tarshiha,5,10778,203,462,66,1668,642,196,1736,3041,242,302,852,661,547
Mitzpe Ramon,5,1860,206,72,8,16,415,79,168,476,134,18,131,39,58
Mashhad,2,2814,6,1,0,1129,1,2,0,58,19,1538,6,7,31
Nahariya,6,30670,1032,2000,111,85,1028,1748,3204,12179,571,31,4208,1886,2055
Nof Hgalil ,5,19714,405,498,407,3953,586,472,3567,5841,445,274,1583,436,896
Nahaf,2,4132,4,0,0,1825,0,7,2,58,76,2013,14,65,41
Ness Ziona,7,25336,2353,1374,128,24,526,3223,836,5900,1477,2,6622,712,1732
Nazareth,4,22605,144,4,5,14632,1,41,37,885,892,5408,270,27,73
Nesher,7,11823,516,582,39,27,222,800,1581,3843,309,4,2280,552,845
Netivot,3,17499,79,758,1268,4,1501,182,725,5388,30,3,237,6922,285
Netanya,6,104965,3308,6898,2962,48,4987,6473,8628,36826,1700,31,14617,11184,5503
Sagur,3,1445,278,219,9,31,42,35,71,388,19,6,92,163,87
Savyon,10,2696,215,118,9,10,35,436,121,511,280,0,806,21,113
Sakhnin,3,15530,22,0,1,5491,1,4,6,89,104,9600,166,5,12
Egar,3,844,11,1,0,22,3,2,12,258,13,24,100,256,135
Omer,10,4490,423,403,12,20,97,634,119,1085,376,6,969,19,269
Eilabun,4,2477,31,1,1,1312,0,23,9,199,344,286,93,82,84
Ilut,2,1714,1,0,0,669,0,5,0,22,24,846,4,123,1
Ein Mahel,2,3706,5,7,0,1894,1,0,36,79,38,1485,7,119,24
Acre,4,21993,319,791,75,3142,839,477,2048,8415,271,1483,1160,1743,970
Emanuel,2,1591,1,27,536,0,290,0,1,76,0,0,1,652,4
Osfia,4,3862,173,12,2,704,6,223,1226,193,404,88,623,62,86
Afula,5,25573,653,1463,1242,29,1065,1264,2445,11058,288,6,2390,1919,1370
Araba,2,9498,4,0,0,5534,1,3,1,77,53,3773,22,0,4
Arad,5,12186,392,373,3198,50,390,363,2296,2005,223,64,1924,195,501
